attraction_name,district,category,recorded_years,latest_year
พิพิธภัณฑ์หุ่นขี้ผึ้งไทย,นครชัยศรี,ศิลปะและวิทยาการ,"2563, 2564, 2565, 2569",2569
พิพิธภัณฑ์แมลง ที่อุทยาน แมลงเฉลิมพระเกียรติ,กำแพงแสน,ศิลปะและวิทยาการ,2569,2569
พิพิธภัณฑ์แห่งชาติพระปฐมเจดีย์,เมืองนครปฐม,ประวัติศาสตร์และวัฒนธรรม,2569,2569
ฟาร์มปลาคาฟบ้านแก้ว,บางเลน,นันทนาการและพักผ่อน,2569,2569
ฟาร์มไส้เดือนนาน้อย,บางเลน,ธรรมชาติ,2569,2569
มูลนิธิธรรมอิสระ,กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
มูลนิธิมหาเทพ ศรีษะทอง นครชัยศรี,นครชัยศรี,ประวัติศาสตร์และวัฒนธรรม,2569,2569
เมืองรัตติยา,บางเลน,ศิลปะและวิทยาการ,"2563, 2564, 2565",2565
เมืองรัตติยา,กำแพงแสน,ศิลปะและวิทยาการ,2569,2569
ลานกางเต็นท์แคมป์เปอร์ฟิลด์,กำแพงแสน,ธรรมชาติ,2569,2569
ลานแสดงช้างและฟาร์มจระเข้สามพราน,สามพราน,นันทนาการและพักผ่อน,"2563, 2564, 2565, 2569",2569
วิสาหกิจชุมชนเกษตรเมืองนครปฐม (ไผ่ตอง),เมืองนครปฐม,เกษตรกรรม,"2563, 2564, 2565",2565
วู้ดแลนด์ เมืองไม้,นครชัยศรี,ศิลปะและวิทยาการ,"2563, 2564, 2565",2565
ศาลเจ้าฉีเทียนฮุกป๋อตั๊วไต่เสี่ยฮุกโจ้ว,กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
ศาลเทพเจ้ากวนอู นครปฐม,เมืองนครปฐม,ศิลปะและวิทยาการ,2569,2569
ศาลพระโพธิสัตว์กวนอิมทุ่งพิชัย,ดอนตูม,ประวัติศาสตร์และวัฒนธรรม,"2563, 2564, 2565, 2569",2569
ศูนย์การเรียนรู้เกษตรอินทรีย์บ้านหัวอ่าว,สามพราน,เกษตรกรรม,2569,2569
ศูนย์การเรียนรู้ภูมิปัญญาไทย ปิยะชนก,เมืองนครปฐม,เกษตรกรรม,"2563, 2564, 2565",2565
ศูนย์การเรียนรู้วัฒนธรรมไทยทรงดำ,บางเลน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
ศูนย์การเรียนรู้วัฒนธรรมไทยทรงดำ กลุ่มชาติพันธุ์ลาวคั่ง,ดอนตูม,ประวัติศาสตร์และวัฒนธรรม,2569,2569
ศูนย์การเรียนรู้วัฒนธรรมไทยทรงดำ กลุ่มชาติพันธุ์ลาวเวียง ลาวครั่ง,กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
ศูนย์การเรียนรู้วัฒนธรรมไทยทรงดำ กลุ่มชาติพันธุ์ไทย-จีนลาวคลั่ง,เมืองนครปฐม,ประวัติศาสตร์และวัฒนธรรม,2569,2569
ศูนย์ชาติพันธุ์ลาวโซ่ง ไทย - จีน มอญ,บางเลน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
ศูนย์เพาะขยายพันธุ์ ผึ้งโพรงป่า ไร่ กำแพงแสนรัก ดร.เฉิน,กำแพงแสน,เกษตรกรรม,2569,2569
ศูนย์วัฒนธรรมไทยดำบ้านไผ่หูช้าง,กำแพงแสน,ศิลปะและวิทยาการ,2569,2569
ศูนย์ศิลปวัฒนธรรมเฉลิมพระเกียรติ๖ รอบพระชนมพรรษา,เมืองนครปฐม,ศิลปะและวิทยาการ,2569,2569
ศูนย์อนุรักษ์ศิลปวัฒนธรรมไทยทรงดำ,ดอนตูม,ประวัติศาสตร์และวัฒนธรรม,"2563, 2564, 2565",2565
สถาบันวัฒนธรรมภูมิภาคตะวันตก,เมืองนครปฐม,ประวัติศาสตร์และวัฒนธรรม,2569,2569
สวนกล้วยไม้สุวรรณ ภูมิ ออร์คิดส์,กำแพงแสน,เกษตรกรรม,2569,2569
สวนนกยูง สามพราน,สามพราน,นันทนาการและพักผ่อน,2569,2569
สวนพฤกษศาสตร์และสวนแสนปาล์ม,กำแพงแสน,ธรรมชาติ,"2563, 2564, 2565",2565
สวนพุทธมณฑล,พุทธมณฑล,ประวัติศาสตร์และวัฒนธรรม,2569,2569
สวนลุงตู่ พันธุ์ไม้,บางเลน,ธรรมชาติ,2569,2569
สวนลุงบุญ ริมน้ำท่าจีน,สามพราน,นันทนาการและพักผ่อน,2569,2569
สวนสัตว์เทศบาลนครนครปฐม,เมืองนครปฐม,นันทนาการและพักผ่อน,2569,2569
สวนสามพราน,สามพราน,นันทนาการและพักผ่อน,"2563, 2564, 2565, 2569",2569
สวนส้มโอนครชัยศรีลุงแดง,นครชัยศรี,เกษตรกรรม,2569,2569
สวนอินทผลัมวัฒนา,ดอนตูม,เกษตรกรรม,2569,2569
สวนน้ำนครปฐม,เมืองนครปฐม,นันทนาการและพักผ่อน,2569,2569
สวนน้ำหนองกระทุ่ม,กำแพงแสน,ธรรมชาติ,2569,2569
สวนเรือกะพาย,กำแพงแสน,ศิลปะและวิทยาการ,2569,2569
สยามชัยหาดทรายขาว นครชัยศรี,นครชัยศรี,นันทนาการและพักผ่อน,"2563, 2564, 2565, 2569",2569
สามพรานโมเดล,สามพราน,เกษตรกรรม,2569,2569
สำนักวิจัยศิลป์ พีระศรี,พุทธมณฑล,ศิลปะและวิทยาการ,2569,2569
หมู่บ้านไทยทรงดำ (หมู่บ้านไทยโซ่ง),บางเลน,ประวัติศาสตร์และวัฒนธรรม,"2563, 2564, 2565, 2569",2569
หอภาพยนต์ องค์การมหาชน,พุทธมณฑล,ศิลปะและวิทยาการ,2569,2569
องค์พระปฐมเจดีย์,เมืองนครปฐม,ประวัติศาสตร์และวัฒนธรรม,"2563, 2564, 2565, 2569",2569
อ่างเก็บน้ำประปานคร,เมืองนครปฐม,นันทนาการและพักผ่อน,2569,2569
อ่างเก็บน้ำลาดเลี้ยง ควาย,กำแพงแสน,เกษตรกรรม,2569,2569
อุทยานการอาชีพชัยพัฒนา,เมืองนครปฐม,ศิลปะและวิทยาการ,2569,2569
อุทยานธรรมชาติวิทยาสิรีรุกขชาติ (มหาลัยมหิดล),พุทธมณฑล,ธรรมชาติ,"2563, 2564, 2565, 2569",2569
อุทยานแมลงเฉลิมพระเกียรติ,กำแพงแสน,ธรรมชาติ,"2563, 2564, 2565, 2569",2569
อุโมงค์ชมพูพันธุ์ทิพย์,กำแพงแสน,ธรรมชาติ,2569,2569
อุโมงค์ยูคาลิปตัส เกษตร กำแพงแสน,กำแพงแสน,ธรรมชาติ,2569,2569
อารามไท่เสวียนก้วน,สามพราน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
เจษฎาเทคนิค มิวเซียม,นครชัยศรี,ศิลปะและวิทยาการ,"2563, 2564, 2565",2565
เซ็นทรัล ศาลายา,สามพราน,นันทนาการและพักผ่อน,2569,2569
เซ็นทรัลนครปฐม,เมืองนครปฐม,นันทนาการและพักผ่อน,2569,2569
เดอะศาลายา เลเชอร์ ปาร์ค,พุทธมณฑล,นันทนาการและพักผ่อน,2569,2569
เมืองรัตติยา,บางเลน,ศิลปะและวิทยาการ,2569,2569
โรงเจหัวถนน ศาลเจ้าเล่าตาแป๊ะกง,ดอนตูม,ประวัติศาสตร์และวัฒนธรรม,2569,2569
โลตัสนครปฐม,เมืองนครปฐม,นันทนาการและพักผ่อน,2569,2569
วังนาคินทร์ นครชัยศรี,นครชัยศรี,ประวัติศาสตร์และวัฒนธรรม,"2563, 2564, 2565",2565
วัดกงลาด นครปฐม,ดอนตูม,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดกำแพงแสน,กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดคลองตัน,กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดคลองคูเมือง,บางเลน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดงิ้วราย,นครชัยศรี,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดดอนขนาก,เมืองนครปฐม,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดดอนตูม,ดอนตูม,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดดอนยอ นครปฐม,บางเลน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดดอนยายหอม,เมืองนครปฐม,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดดอนเสาเกียด (มิลินทบุณยาราม),เมืองนครปฐม,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดตะโกสูง,ดอนตูม,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดตาก้อง,เมืองนครปฐม,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดทรงคนอง,สามพราน,ประวัติศาสตร์และวัฒนธรรม,"2563, 2564, 2565, 2569",2569
วัดทัพหลวง,เมืองนครปฐม,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดทุ่งกระพังโหม,กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดทุ่งน้อย,นครชัยศรี,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดทุ่งผักกูด,ดอนตูม,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดทุ่งสีหลง,ดอนตูม,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดธรรมปัญญารามบางม่วง,สามพราน,ประวัติศาสตร์และวัฒนธรรม,"2563, 2564, 2565, 2569",2569
วัดธรรมศาลา,เมืองนครปฐม,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดนราภิรมย์,บางเลน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดนิลเพชร,บางเลน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดนิยมธรรมาวราราม,กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดบางช้างเหนือ,สามพราน,ประวัติศาสตร์และวัฒนธรรม,"2563, 2564, 2565, 2569",2569
วัดบางปลา,บางเลน,ประวัติศาสตร์และวัฒนธรรม,"2563, 2564, 2565, 2569",2569
วัดบางภาษี,บางเลน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดบางพระ,นครชัยศรี,ประวัติศาสตร์และวัฒนธรรม,"2563, 2564, 2565, 2569",2569
วัดบางเลน,บางเลน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดบางหลวง,บางเลน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดบางแขม,เมืองนครปฐม,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดบัวปากท่า,บางเลน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดบัวหวั่น,บางเลน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดบึงลาดสวาย,บางเลน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดบ่อน้ำจืด,กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดบ้านหลวง,ดอนตูม,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดบ้านหนองขาม,กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดประชาราษฎร์บำรุง (วัดรางหมัน),กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,"2563, 2564, 2565, 2569",2569
วัดปลักไม้ลาย,กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,"2563, 2564, 2565, 2569",2569
วัดปทุมทองสุทธาราม,กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดปรีดาราม,สามพราน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดป่าญาณโสภณาราม,กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดป่าดอนทอง,กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดป่าปฐมชัย,เมืองนครปฐม,ประวัติศาสตร์และวัฒนธรรม,"2563, 2564, 2565, 2569",2569
วัดป่าปฐมโพธิญาณ,กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดป่าศรีถาวร คลองโยง,พุทธมณฑล,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดป่าอุดมสิทธิกุล,บางเลน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดพุทธมณฑล,พุทธมณฑล,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดพุทธสันติธรรม,กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดพระประโทณเจดีย์วรวิหาร,เมืองนครปฐม,ประวัติศาสตร์และวัฒนธรรม,"2563, 2564, 2565, 2569",2569
วัดพะเนียงแตก,เมืองนครปฐม,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดมะเกลือ,พุทธมณฑล,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดมงคลประชาราม,พุทธมณฑล,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดยอดนิยมไร่ขิง,สามพราน,ประวัติศาสตร์และวัฒนธรรม,"2563, 2564, 2565, 2569",2569
วัดละมุด,นครชัยศรี,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดลาดหญ้าแพรก,เมืองนครปฐม,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดลาดหญ้าไทร,กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดลำลูกบัว,ดอนตูม,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดลำเหย,ดอนตูม,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดรางกระทุ่ม,บางเลน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดรางกำหยาด,บางเลน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดรางไทร,บางเลน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดราษฎร์ภิรมย์วราราม,กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดศรีมหาโพธิ์,นครชัยศรี,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดศีรษะทอง,นครชัยศรี,ประวัติศาสตร์และวัฒนธรรม,"2563, 2564, 2565, 2569",2569
วัดสรรเพชญ,สามพราน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดสว่างชาติประชาบำรุง,กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,"2563, 2564, 2565, 2569",2569
วัดสว่างอารมณ์,นครชัยศรี,ประวัติศาสตร์และวัฒนธรรม,"2563, 2564, 2565, 2569",2569
วัดสระกระเทียม,เมืองนครปฐม,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดสระน้ำส้ม,กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดสระพัง,กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดสระมงคล,กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดสระสี่มุม,กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดสระสี่เหลี่ยม,ดอนตูม,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดสิริวัฒนาราม,พุทธมณฑล,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดสิรินธรเทพรัตนาราม,สามพราน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดสุวรรณาราม,พุทธมณฑล,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดสุขวราราม (วัดดอนรวก),ดอนตูม,ประวัติศาสตร์และวัฒนธรรม,"2563, 2564, 2565, 2569",2569
วัดหนองกร่าง,กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดหนองกระทุ่ม นครปฐม,กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดหนองจิก,กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดหนองปลาไหล,กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดหนองศาลา,กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดหนองหมู,กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดหนองเสือ,เมืองนครปฐม,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดหนองโพธิ์,กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดหอมเกร็ด,สามพราน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดห้วยตะโก,นครชัยศรี,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดห้วยผักชี,กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดห้วยพลู,นครชัยศรี,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดห้วยพระ,ดอนตูม,ประวัติศาสตร์และวัฒนธรรม,"2563, 2564, 2565, 2569",2569
วัดห้วยม่วง,กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดอ้อน้อย(ธรรมอิสระ),กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดเจริญราษฎร์บำรุง (วัดหนองพงนก),กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,"2563, 2564, 2565, 2569",2569
วัดเพลินเพชร,สามพราน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดโพธิ์งาม,กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดโพธิ์เศษฐีวนาราม,เมืองนครปฐม,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดโพรงมะเดื่อ,เมืองนครปฐม,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดใหม่ปิ่นเกลียว,เมืองนครปฐม,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดใหม่สุปดิษฐาราม,นครชัยศรี,ประวัติศาสตร์และวัฒนธรรม,"2563, 2564, 2565, 2569",2569
วัดใหม่ห้วยลึก,เมืองนครปฐม,ประวัติศาสตร์และวัฒนธรรม,2569,2569
วัดไร่ขิงพระอารามหลวง,สามพราน,ประวัติศาสตร์และวัฒนธรรม,"2563, 2564, 2565, 2569",2569
วัดไร่แตงทอง,กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,"2563, 2564, 2565, 2569",2569
